src_ip,dst_ip,src_port,dst_port,protocol,duration,packet_count,byte_count,mean_pkt_size,std_pkt_size,vpn_label
192.168.31.141,192.168.31.255,56789,5775,17,2794.273056030273,1355,116530,86.0,0.0,Non-VPN
192.168.31.137,224.0.0.251,5353,5353,17,2773.396183013916,347,49066,141.40057636887607,10.56928831925688,Non-VPN
192.168.31.160,35.213.74.201,52496,443,6,90.4068410396576,3,165,55.0,0.0,Non-VPN
35.213.74.201,192.168.31.160,443,52496,6,214.8884470462799,12,1341,111.75,26.413774815425377,Non-VPN
192.168.31.160,34.107.172.168,51126,443,6,90.11184906959534,3,165,55.0,0.0,Non-VPN
192.168.31.160,99.86.30.117,59376,443,6,90.12667512893675,3,165,55.0,0.0,Non-VPN
34.107.172.168,192.168.31.160,443,51126,6,328.96103405952454,12,1341,111.75,26.413774815425377,Non-VPN
99.86.30.117,192.168.31.160,443,59376,6,154.09034776687622,10,771,77.1,16.434415109762806,Non-VPN
192.168.31.160,49.44.200.106,59378,443,6,90.33608603477478,3,165,55.0,0.0,Non-VPN
192.168.31.160,49.44.152.40,59377,443,6,29.96576690673828,3,163,54.333333333333336,0.4714045207910317,Non-VPN
192.168.31.160,49.44.152.40,59379,443,6,30.219885110855103,4,217,54.25,0.4330127018922193,Non-VPN
49.44.152.40,192.168.31.160,443,59377,6,29.80423593521118,4,252,63.0,9.9498743710662,Non-VPN
49.44.200.106,192.168.31.160,443,59378,6,424.6515598297119,12,852,71.0,9.1104335791443,Non-VPN
49.44.152.40,192.168.31.160,443,59379,6,30.110317945480347,4,252,63.0,9.9498743710662,Non-VPN
192.168.31.160,13.225.103.49,59383,443,6,90.13627409934998,3,165,55.0,0.0,Non-VPN
13.225.103.49,192.168.31.160,443,59383,6,154.1935851573944,10,771,77.1,16.434415109762806,Non-VPN
192.168.31.160,136.110.189.215,59385,443,6,90.11651992797852,3,165,55.0,0.0,Non-VPN
136.110.189.215,192.168.31.160,443,59385,6,90.1076672077179,3,198,66.0,0.0,Non-VPN
192.168.31.160,199.232.22.49,59262,443,6,90.07242488861084,3,165,55.0,0.0,Non-VPN
